Movie_Name,Year,Score,Run_Time_Minutes,Winners,Winner,Nominations
The Shawshank Redemption,1994,9.3,142,,,
The Godfather,1972,9.2,175,,,
The Dark Knight,2008,9.0,152,,,
The Godfather Part II,1974,9.0,202,,,
12 Angry Men,1957,9.0,96,,,
The Lord of the Rings: The Return of the King,2003,9.0,201,,,
Schindler's List,1993,9.0,195,,,
Pulp Fiction,1994,8.9,154,,,
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,,,
"The Good, the Bad and the Ugly",1966,8.8,178,,,
Forrest Gump,1994,8.8,142,,,
The Lord of the Rings: The Two Towers,2002,8.8,179,,,
Fight Club,1999,8.8,139,,,
Inception,2010,8.8,148,,,
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,,,
The Matrix,1999,8.7,136,,,
Goodfellas,1990,8.7,145,,,
Interstellar,2014,8.7,169,,,
One Flew Over the Cuckoo's Nest,1975,8.7,133,,,
Se7en,1995,8.6,127,,,
It's a Wonderful Life,1946,8.6,130,,,
The Silence of the Lambs,1991,8.6,118,,,
Seven Samurai,1954,8.6,207,,,
Saving Private Ryan,1998,8.6,169,,,
City of God,2002,8.6,130,,,
The Green Mile,1999,8.6,189,,,
Life Is Beautiful,1997,8.6,116,,,
Terminator 2: Judgment Day,1991,8.6,137,,,
Star Wars: Episode IV - A New Hope,1977,8.6,121,,,
Back to the Future,1985,8.5,116,,,
Spirited Away,2001,8.6,124,,,
The Pianist,2002,8.5,150,,,
Gladiator,2000,8.5,155,,,
Parasite,2019,8.5,132,,,
Psycho,1960,8.5,109,,,
The Lion King,1994,8.5,88,,,
Grave of the Fireflies,1988,8.5,88,,,
The Departed,2006,8.5,151,,,
Whiplash,2014,8.5,106,,,
Harakiri,1962,8.6,133,,,
American History X,1998,8.5,119,,,
The Prestige,2006,8.5,130,,,
Léon: The Professional,1994,8.5,110,,,
Spider-Man: Across the Spider-Verse,2023,8.5,140,,,
Casablanca,1942,8.5,102,,,
The Usual Suspects,1995,8.5,106,,,
The Intouchables,2011,8.5,112,,,
Cinema Paradiso,1988,8.5,174,,,
Alien,1979,8.5,117,,,
Modern Times,1936,8.5,87,,,
Rear Window,1954,8.5,112,,,
Once Upon a Time in the West,1968,8.5,166,,,
Django Unchained,2012,8.5,165,,,
City Lights,1931,8.5,87,,,
Apocalypse Now,1979,8.4,147,,,
Dune: Part Two,2024,8.5,166,,,
WALL·E,2008,8.4,98,,,
Memento,2000,8.4,113,,,
Raiders of the Lost Ark,1981,8.4,115,,,
The Lives of Others,2006,8.4,137,,,
Avengers: Infinity War,2018,8.4,149,,,
Sunset Boulevard,1950,8.4,110,,,
Spider-Man: Into the Spider-Verse,2018,8.4,117,,,
Witness for the Prosecution,1957,8.4,116,,,
Paths of Glory,1957,8.4,88,,,
The Shining,1980,8.4,146,,,
The Great Dictator,1940,8.4,125,,,
12th Fail,2023,8.8,147,,,
Inglourious Basterds,2009,8.4,153,,,
Aliens,1986,8.4,137,,,
The Dark Knight Rises,2012,8.4,164,,,
Coco,2017,8.4,105,,,
Amadeus,1984,8.4,160,,,
Toy Story,1995,8.3,81,,,
Avengers: Endgame,2019,8.4,181,,,
Good Will Hunting,1997,8.3,126,,,
Oldboy,2003,8.3,120,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,95,,,
Das Boot,1981,8.4,149,,,
American Beauty,1999,8.3,122,,,
Braveheart,1995,8.3,178,,,
Princess Mononoke,1997,8.3,133,,,
Your Name.,2016,8.4,106,,,
High and Low,1963,8.4,143,,,
3 Idiots,2009,8.4,170,,,
Joker,2019,8.3,122,,,
Once Upon a Time in America,1984,8.3,229,,,
Capernaum,2018,8.4,126,,,
Singin' in the Rain,1952,8.3,103,,,
The Chaos Class Failed the Class,1975,8.8,95,,,
Come and See,1985,8.3,142,,,
Requiem for a Dream,2000,8.3,102,,,
Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,,,
Toy Story 3,2010,8.3,103,,,
The Hunt,2012,8.3,115,,,
Ikiru,1952,8.3,143,,,
Eternal Sunshine of the Spotless Mind,2004,8.3,108,,,
2001: A Space Odyssey,1968,8.3,149,,,
Reservoir Dogs,1992,8.3,99,,,
Incendies,2010,8.3,131,,,
The Apartment,1960,8.3,125,,,
Lawrence of Arabia,1962,8.3,227,,,
Scarface,1983,8.3,170,,,
Double Indemnity,1944,8.3,107,,,
Heat,1995,8.3,170,,,
North by Northwest,1959,8.3,136,,,
Up,2009,8.3,96,,,
Citizen Kane,1941,8.3,119,,,
M,1931,8.3,99,,,
Full Metal Jacket,1987,8.2,116,,,
Vertigo,1958,8.2,128,,,
Amélie,2001,8.3,122,,,
A Separation,2011,8.3,123,,,
To Kill a Mockingbird,1962,8.3,129,,,
A Clockwork Orange,1971,8.2,136,,,
Like Stars on Earth,2007,8.3,162,,,
Die Hard,1988,8.2,132,,,
Indiana Jones and the Last Crusade,1989,8.2,127,,,
The Sting,1973,8.3,129,,,
Oppenheimer,2023,8.3,180,,,
Metropolis,1927,8.3,153,,,
Snatch,2000,8.2,102,,,
1917,2019,8.2,119,,,
L.A. Confidential,1997,8.2,138,,,
Bicycle Thieves,1948,8.2,89,,,
Downfall,2004,8.2,156,,,
Dangal,2016,8.3,161,,,
The Wolf of Wall Street,2013,8.2,180,,,
